time,applicationName,deviceName,devEui,message_type,fPort,fCnt,gps_valid,gps_quality_acceptable,latitude,longitude,altitude_m,hdop,satellites,frequency_hz,spreading_factor,bandwidth_hz,code_rate,gateway_count,strongest_gateway_name,strongest_gateway_id,min_rssi,max_rssi,min_snr,max_snr,min_distance_m,max_distance_m,downlink_published,downlink_payload_hex,downlink_sequence,downlink_min_distance_step,downlink_max_distance_step,gateways_received
2026-09-04 10:12:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,12,True,True,9.0248093,-79.5344877,50.0,1.2,7.0,903900000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-120.0,-108.0,-5.2,6.8,42.0,288.7,True,0c505c010202,12,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-108.0,""snr"":6.8,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":42.0},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-120.0,""snr"":-5.2,""latitude"":9.02348,""longitude"":-79.53223,""distance_m"":288.7}]"
2026-09-04 10:12:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,13,True,True,9.0248201,-79.5344877,56.0,1.2,8.0,904300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-101.0,-8.2,7.0,42.8,289.3,True,0d5163010202,13,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-101.0,""snr"":7.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":42.8},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-119.0,""snr"":-8.2,""latitude"":9.02348,""longitude"":-79.53223,""distance_m"":289.3}]"
2026-09-04 10:12:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,14,True,True,9.0248201,-79.5344877,60.0,1.2,7.0,904100000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-103.0,-4.8,8.8,42.8,288.3,True,0e5161010202,14,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-103.0,""snr"":8.8,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":42.8},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-119.0,""snr"":-4.8,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":288.3}]"
2026-09-04 10:12:56,Tests,SignalTester,ac1f09fffe10547c,field_test,1,15,True,True,9.0248093,-79.5344877,65.0,1.3,6.0,905100000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-118.0,-101.0,8.5,8.5,41.2,287.7,True,0f5263010202,15,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-101.0,""snr"":8.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":41.2},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-118.0,""snr"":null,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":287.7}]"
2026-09-04 10:13:11,Tests,SignalTester,ac1f09fffe10547c,field_test,1,16,True,True,9.0248201,-79.5344877,59.0,1.3,6.0,905300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-101.0,-2.0,3.5,42.1,288.3,True,105163010202,16,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-101.0,""snr"":3.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":42.1},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-119.0,""snr"":-2.0,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":288.3}]"
2026-09-04 10:13:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,17,True,True,9.0248093,-79.5344877,68.0,1.2,7.0,904700000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-118.0,-105.0,-5.5,4.0,41.2,287.7,True,11525f010202,17,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-105.0,""snr"":4.0,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":41.2},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-118.0,""snr"":-5.5,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":287.7}]"
2026-09-04 10:13:41,Tests,SignalTester,ac1f09fffe10547c,field_test,1,18,True,True,9.0247985,-79.5344662,78.0,1.2,7.0,904500000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-118.0,-102.0,-7.5,8.0,38.7,285.1,True,125262010202,18,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-102.0,""snr"":8.0,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":38.7},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-118.0,""snr"":-7.5,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":285.1}]"
2026-09-04 10:13:56,Tests,SignalTester,ac1f09fffe10547c,field_test,1,19,True,True,9.0247985,-79.5344877,78.0,1.2,7.0,904100000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-103.0,-103.0,8.5,8.5,40.3,40.3,True,136161010101,19,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-103.0,""snr"":8.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":40.3}]"
2026-09-04 10:14:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,20,True,True,9.0247985,-79.5344877,94.0,1.2,7.0,903900000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-120.0,-106.0,-8.0,7.2,40.3,287.1,True,14505e010202,20,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-106.0,""snr"":7.2,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":40.3},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-120.0,""snr"":-8.0,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":287.1}]"
2026-09-04 10:14:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,21,True,True,9.0248093,-79.5345092,91.0,1.2,7.0,904300000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-104.0,-104.0,7.0,7.0,42.9,42.9,True,156060010101,21,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-104.0,""snr"":7.0,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":42.9}]"
2026-09-04 10:14:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,22,True,True,9.0248201,-79.5345522,87.0,1.2,7.0,905100000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-103.0,-103.0,8.8,8.8,47.1,47.1,True,166161010101,22,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-103.0,""snr"":8.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":47.1}]"
2026-09-04 10:14:56,Tests,SignalTester,ac1f09fffe10547c,field_test,1,23,True,True,9.0248201,-79.5345522,91.0,1.2,7.0,904900000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-117.0,-107.0,-5.8,6.5,47.1,294.4,True,17535d010202,23,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-107.0,""snr"":6.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":47.1},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-117.0,""snr"":-5.8,""latitude"":9.02348,""longitude"":-79.53224,""distance_m"":294.4}]"
2026-09-04 10:15:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,24,True,True,9.0248417,-79.5345092,96.0,1.2,7.0,904300000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-98.0,-98.0,7.5,7.5,45.4,45.4,True,186666010101,24,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-98.0,""snr"":7.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":45.4}]"
2026-09-04 10:15:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,25,True,True,9.0248633,-79.5345307,96.0,1.2,7.0,904500000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-103.0,-103.0,7.8,7.8,48.8,48.8,True,196161010101,25,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-103.0,""snr"":7.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":48.8}]"
2026-09-04 10:15:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,26,True,True,9.0248417,-79.5345522,98.0,1.2,7.0,904100000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-120.0,-102.0,-6.8,8.5,48.8,297.2,True,1a5062010202,26,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-102.0,""snr"":8.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":48.8},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-120.0,""snr"":-6.8,""latitude"":9.02347,""longitude"":-79.53223,""distance_m"":297.2}]"
2026-09-04 10:15:57,Tests,SignalTester,ac1f09fffe10547c,field_test,1,27,True,True,9.0248525,-79.5345307,96.0,1.2,8.0,905100000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-118.0,-106.0,-7.0,8.8,47.9,295.8,True,1b525e010202,27,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-106.0,""snr"":8.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":47.9},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-118.0,""snr"":-7.0,""latitude"":9.02347,""longitude"":-79.53223,""distance_m"":295.8}]"
2026-09-04 10:16:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,28,True,True,9.0248525,-79.5345307,93.0,1.3,8.0,904700000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-118.0,-104.0,-8.8,7.8,47.9,414.8,True,1c5260010202,28,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-104.0,""snr"":7.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":47.9},{""gatewayName"":""5813d3fffe69a1e6"",""gatewayId"":""5813d3fffe69a1e6"",""rssi"":-118.0,""snr"":-8.8,""latitude"":9.02194,""longitude"":-79.53217,""distance_m"":414.8}]"
2026-09-04 10:16:32,Tests,SignalTester,ac1f09fffe10547c,field_test,1,29,True,True,9.0248741,-79.5345522,76.0,1.1,9.0,905100000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-102.0,-102.0,8.5,8.5,51.3,51.3,True,1d6262010101,29,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-102.0,""snr"":8.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":51.3}]"
2026-09-04 10:16:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,30,True,True,9.0248633,-79.5345737,64.0,1.1,9.0,904900000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-117.0,-114.0,-6.0,-2.0,52.1,299.5,True,1e5356010202,30,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-114.0,""snr"":-2.0,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":52.1},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-117.0,""snr"":-6.0,""latitude"":9.02347,""longitude"":-79.53224,""distance_m"":299.5}]"
2026-09-04 10:16:57,Tests,SignalTester,ac1f09fffe10547c,field_test,1,32,True,True,9.0248309,-79.5346382,61.0,1.1,9.0,905300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-120.0,-102.0,-8.8,6.5,55.3,303.7,True,205062010202,32,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-102.0,""snr"":6.5,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":55.3},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-120.0,""snr"":-8.8,""latitude"":9.02347,""longitude"":-79.53224,""distance_m"":303.7}]"
2026-09-04 10:17:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,33,True,True,9.0248093,-79.5346382,60.0,1.1,10.0,904300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-117.0,-102.0,-5.8,6.8,53.9,302.6,True,215362010202,33,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-102.0,""snr"":6.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":53.9},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-117.0,""snr"":-5.8,""latitude"":9.02347,""longitude"":-79.53224,""distance_m"":302.6}]"
2026-09-04 10:17:26,Tests,SignalTester,ac1f09fffe10547c,field_test,1,34,True,True,9.0248309,-79.5346597,52.0,1.1,8.0,905300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-119.0,-105.0,-4.0,7.8,57.2,305.8,True,22515f010202,34,1,2,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-105.0,""snr"":7.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":57.2},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-119.0,""snr"":-4.0,""latitude"":9.02347,""longitude"":-79.53224,""distance_m"":305.8}]"
2026-09-04 10:17:42,Tests,SignalTester,ac1f09fffe10547c,field_test,1,35,True,True,9.0248201,-79.5346382,60.0,1.2,8.0,903900000,7,125000,CR_4_5,1,GatewayELIIDobleBanda815,5813d3fffe69a166,-103.0,-103.0,8.8,8.8,54.6,54.6,True,236161010101,35,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-103.0,""snr"":8.8,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":54.6}]"
2026-09-04 10:17:56,Tests,SignalTester,ac1f09fffe10547c,field_test,1,36,True,True,9.0247877,-79.5346167,63.0,1.4,7.0,904500000,7,125000,CR_4_5,2,GatewayFacilidadesDobleBanda815,5813d3fffe4e3661,-115.0,-112.0,3.2,4.0,50.6,300.3,True,245558010202,36,1,2,"[{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-112.0,""snr"":4.0,""latitude"":9.02347,""longitude"":-79.53223,""distance_m"":300.3},{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-115.0,""snr"":3.2,""latitude"":9.02454,""longitude"":-79.53423,""distance_m"":50.6}]"
2026-09-04 10:19:57,Tests,SignalTester,ac1f09fffe10547c,field_test,1,37,True,True,9.0244961,-79.5340362,61.0,1.3,6.0,904900000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-100.0,-97.0,9.2,9.5,20.8,228.8,True,256467010102,37,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-97.0,""snr"":9.5,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":20.8},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-100.0,""snr"":9.2,""latitude"":9.02347,""longitude"":-79.53223,""distance_m"":228.8}]"
2026-09-04 10:20:12,Tests,SignalTester,ac1f09fffe10547c,field_test,1,38,True,True,9.0244097,-79.5342512,76.0,1.1,8.0,905100000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-103.0,-99.0,9.0,9.5,14.9,245.3,True,266165010102,38,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-99.0,""snr"":9.5,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":14.9},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-103.0,""snr"":9.0,""latitude"":9.02347,""longitude"":-79.53223,""distance_m"":245.3}]"
2026-09-04 10:20:27,Tests,SignalTester,ac1f09fffe10547c,field_test,1,39,True,True,9.0244421,-79.5342082,82.0,1.3,6.0,904300000,7,125000,CR_4_5,2,GatewayELIIDobleBanda815,5813d3fffe69a166,-107.0,-99.0,5.8,7.0,11.0,242.6,True,275d65010102,39,1,1,"[{""gatewayName"":""GatewayELIIDobleBanda815"",""gatewayId"":""5813d3fffe69a166"",""rssi"":-99.0,""snr"":7.0,""latitude"":9.02454,""longitude"":-79.53422,""distance_m"":11.0},{""gatewayName"":""GatewayFacilidadesDobleBanda815"",""gatewayId"":""5813d3fffe4e3661"",""rssi"":-107.0,""snr"":5.8,""latitude"":9.02347,""longitude"":-79.53223,""distance_m"":242.6}]"
